latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,exact_time,day_of_week,time_seconds,distance,predicted_time
44.39996,-72.998511,95.8,2023-04-28 17:09:44+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:44,4,85.0,2.7125604487200854,0.004517163
44.399941,-72.99854,95.8,2023-04-28 17:09:45+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:45,4,86.0,3.1296938907192198,0.004517163
44.399922,-72.998566,96.0,2023-04-28 17:09:46+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:46,4,87.0,2.9576680642289515,0.004517163
44.399899,-72.998598,96.0,2023-04-28 17:09:47+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:47,4,88.0,3.6098234343036517,0.004517163
44.39988,-72.998631,96.0,2023-04-28 17:09:48+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:48,4,89.0,3.3717874639394845,0.004517163
44.39986,-72.998657,96.0,2023-04-28 17:09:49+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:49,4,90.0,3.0379875314843314,0.004517163
44.399843,-72.998687,96.2,2023-04-28 17:09:50+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:50,4,91.0,3.046378083459464,0.004517163
44.399824,-72.998709,96.2,2023-04-28 17:09:51+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:51,4,92.0,2.743950753652351,0.004517163
44.399805,-72.998736,96.2,2023-04-28 17:09:52+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:52,4,93.0,3.0139986329565582,0.004517163
44.399787,-72.998758,96.2,2023-04-28 17:09:53+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:53,4,94.0,2.6593995557818255,0.004517163
44.399765,-72.998787,96.4,2023-04-28 17:09:54+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:54,4,95.0,3.363596012735372,0.004517163
44.399748,-72.998813,96.4,2023-04-28 17:09:55+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:55,4,96.0,2.803354024064863,0.004517163
44.399728,-72.998839,96.6,2023-04-28 17:09:56+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:56,4,97.0,3.037990668891047,0.004517163
44.39971,-72.998867,96.8,2023-04-28 17:09:57+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:57,4,98.0,2.99606473122228,0.004517163
44.399689,-72.998893,97.0,2023-04-28 17:09:58+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:58,4,99.0,3.120199854212098,0.004517163
44.399669,-72.998927,97.2,2023-04-28 17:09:59+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:59,4,100.0,3.5036814737027524,0.004517163
44.399648,-72.998955,97.6,2023-04-28 17:10:00+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:00,4,101.0,3.2281714379819806,0.004517163
