latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,pres,tsun,coco,exact_time,day_of_week
30.09808574,-94.12858582,-16.242554,2025-04-01 19:44:23+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:23,Вторник
30.09810251,-94.12859434,-16.619385,2025-04-01 19:44:24+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:24,Вторник
30.09811622,-94.12860232,-16.742798,2025-04-01 19:44:25+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:25,Вторник
30.0981279,-94.12860671,-16.81723,2025-04-01 19:44:26+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:26,Вторник
30.09813884,-94.12861049,-16.788422,2025-04-01 19:44:27+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:27,Вторник
30.09814901,-94.12861418,-16.746887,2025-04-01 19:44:28+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:28,Вторник
30.09816358,-94.1286248,-17.21112,2025-04-01 19:44:30+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:30,Вторник
30.09816497,-94.12864287,-17.587189,2025-04-01 19:44:31+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:31,Вторник
30.09816637,-94.12866405,-17.015503,2025-04-01 19:44:33+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:33,Вторник
30.0981658,-94.12867627,-17.032776,2025-04-01 19:44:34+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:34,Вторник
30.09816518,-94.1286887,-17.197998,2025-04-01 19:44:35+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:35,Вторник
30.09816388,-94.12870165,-17.1557,2025-04-01 19:44:36+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:36,Вторник
30.09816348,-94.1287142,-16.988403,2025-04-01 19:44:37+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:37,Вторник
30.09816231,-94.12872609,-16.916046,2025-04-01 19:44:38+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:38,Вторник
30.09816187,-94.12873807,-16.818024,2025-04-01 19:44:39+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:39,Вторник
30.09816111,-94.12874979,-16.78711,2025-04-01 19:44:40+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:40,Вторник
30.09816086,-94.1287623,-16.916382,2025-04-01 19:44:41+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:41,Вторник
30.09815985,-94.12877397,-16.779327,2025-04-01 19:44:42+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:42,Вторник
30.09815886,-94.12878482,-16.759247,2025-04-01 19:44:43+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:43,Вторник
30.09815698,-94.12879662,-16.615295,2025-04-01 19:44:44+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:44,Вторник
30.09815455,-94.12880888,-16.559814,2025-04-01 19:44:45+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:45,Вторник
30.09815328,-94.12882064,-16.565338,2025-04-01 19:44:46+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:46,Вторник
30.09815076,-94.12883214,-16.371582,2025-04-01 19:44:47+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:47,Вторник
30.09814818,-94.12884387,-16.335388,2025-04-01 19:44:48+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:44:48,Вторник
